UID,name,address,city,state,zip,latitude,longitude,,,,,,,,,,,
,Arlington Community Market,3798 Arlington Ave,Los Angeles,CA,90018,34.018384,-118.317969,(323) 290-2309,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 9:30 PM,7:00 AM - 9:00 PM,PST,Factual,
,Arlington Fish Market,2312 1/2 W 48Th St,,CA,90043,33.999999,-118.318518,(323) 294-0081,,,,,,,,PST,Factual,
,Arlington Height's Mimi Market,2489 W Washington Blvd,,CA,90018,34.040004,-118.317385,(323) 373-9710,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 9:30 PM,7:00 AM - 9:00 PM,PST,Factual,
,Armaghan,10846 Vanowen St,North Hollywood,CA,91605,34.193735,-118.367416,(818) 760-9700,,,,,,,,PST,Factual,
,Armen Market,1101 W Glenoaks Blvd,Glendale,CA,91202,34.16427,-118.279884,(818) 500-9005,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 9:30 PM,7:00 AM - 9:00 PM,PST,Factual,https://www.yelp.com/biz/armen-market-glendale
,Armen Market,1873 N Allen Ave,,CA,91104,34.178245,-118.112208,(626) 794-2999,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 7:00 PM,PST,Factual,
,Armen Market,1873 N Allen Ave,Pasadena,CA,91104,34.17831,-118.112,(626) 794-2999,8:00 AM to 9:00 PM,8:00 AM to 9:00 PM,8:00 AM to 9:00 PM,8:00 AM to 9:00 PM,8:00 AM to 9:00 PM,8:00 AM to 8:00 PM,8:00 AM to 7:00 PM,PST,Yelp,https://www.yelp.com/biz/armen-market-pasadena
,Armen's Market,471 W Lexington Dr,Glendale,CA,91203,34.151767,-118.264227,(818) 637-7720,6:00 AM - 11:59 PM,6:00 AM - 11:59 PM,6:00 AM - 11:59 PM,6:00 AM - 11:59 PM,6:00 AM - 11:59 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,PST,Factual,https://www.yelp.com/biz/corner-market-glendale-2
,Armenia Plus Market,2113 N Glenoaks Blvd,Burbank,CA,91504,34.19787,-118.327,(818) 861-7106,8:00 AM to 8:00 PM,8:00 AM to 8:00 PM,8:00 AM to 8:00 PM,8:00 AM to 8:00 PM,8:00 AM to 8:00 PM,8:00 AM to 8:00 PM,8:00 AM to 6:00 PM,PST,Yelp,https://www.yelp.com/biz/armenia-plus-market-burbank
,Arniceria Y Birrieria,13864 Chase St,Los Angeles,CA,91402,34.22719,-118.435,n/a,,,,,,,,PST,Yelp,https://www.yelp.com/biz/arniceria-y-birrieria-los-angeles
,Arrowhead Bottled Water Delivery & Distribution Center,13109 S Budlong Ave,,CA,90247,33.913448,-118.29652,(310) 327-4044,,,,,,,,PST,Factual,http://nestlewaters.com
,Arrowhead Water Co,1566 E Washington Blvd,Los Angeles,CA,90021,34.021,-118.24,,,,,,,,,PST,LACity,
,Arroyo General,5028 York Blvd,Los Angeles,CA,90042,34.12101,-118.206018,n/a,,,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,11:00 AM - 5:00 PM,PST,Factual,http://www.arroyogeneral.com/
,Art Flores Food & Snack,7285 Quill Dr,,CA,90242,33.934471,-118.162848,(562) 803-4576,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,PST,Factual,
,Art Flores Food & Snacks,7601 Imperial Hwy,,CA,90242,33.926789,-118.156834,(562) 803-5203,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,12:00 AM - 12:00 AM,PST,Factual,
,Art's 76,5890 Hollywood Blvd,Los Angeles,CA,90028,34.1016,-118.32,,,,,,,,,PST,LACity,
,Art's Market,2295 Pasadena Ave,,CA,90806,33.798793,-118.187285,(562) 424-3821,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 9:30 PM,7:00 AM - 9:00 PM,PST,Factual,
,Art's Market,701 N Gibbs St,,CA,91767,34.064656,-117.748303,(909) 622-3030,6:00 AM - 10:30 PM,6:00 AM - 10:30 PM,6:00 AM - 10:30 PM,6:00 AM - 10:30 PM,6:00 AM - 10:30 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,PST,Factual,http://scoutprovideo.com/
,Arteaga's Market,1436 E Anaheim St,Long Beach,CA,90813,33.782488,-118.173316,(562) 591-7629,,,,,,,,PST,Factual,https://www.yelp.com/biz/arteagas-market-long-beach
,Artesia Drive In Dairy,11816 166Th St,Artesia,CA,90701,33.880267,-118.081791,(562) 926-2114,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 3:00 PM,PST,Factual,https://www.yelp.com/biz/artesia-drive-in-dairy-artesia
,Artesia Pro,2512 Artesia Blvd,,CA,90278,33.872653,-118.365606,(310) 937-0584,,,,,,,,PST,Factual,
,Artesia Produce Market,2322 Artesia Blvd,Redondo Beach,CA,90278,33.872714,-118.369704,(310) 376-0043,8:00 AM - 8:30 PM,8:00 AM - 8:30 PM,8:00 AM - 8:30 PM,8:00 AM - 8:30 PM,8:00 AM - 8:30 PM,8:00 AM - 8:30 PM,8:00 AM - 8:30 PM,PST,Factual,https://www.yelp.com/biz/artesia-international-produce-market-redondo-beach
,Arthur Perless Distributing,3618 E Arabella St,,CA,90805,33.862623,-118.149527,(562) 531-7200,,,,,,,,PST,Factual,
,Artsakh Produce,5345 Santa Monica Blvd,Los Angeles,CA,90029,34.0907,-118.31,,,,,,,,,PST,LACity,
,Arturo's Discount,2808 S Central Ave,Los Angeles,CA,90011,34.0165,-118.26,,,,,,,,,PST,LACity,
,Arturo's Mexican Food,1239 S Los Angeles St,,CA,90015,34.036413,-118.258921,(213) 749-6085,,,,,,,,PST,Factual,
,Arya Ice Cream Dist Co Inc,914 E 31St St,Los Angeles,CA,90011,34.0159,-118.26,,,,,,,,,PST,LACity,
,Aryzta Llc,15963 Strathern St,Van Nuys,CA,91406,34.2156,-118.48,,,,,,,,,PST,LACity,
,Aryzta Llc,3250 E 44Th St,Vernon,CA,90058,34.0037,-118.21,,,,,,,,,PST,LACity,
,Aseanis Food,8780 Valley Blvd,,CA,91770,34.080424,-118.078011,(626) 872-1794,,,,,,,,PST,Factual,
,Ashkan Naami,1143 Daniels Dr,Los Angeles,CA,90035,34.0568,-118.4,,,,,,,,,PST,LACity,
,Ashley's Deli & Market,828 Hermosa Ave,Hermosa Beach,CA,90254,33.859668,-118.399203,(310) 372-6729,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,9:00 AM - 7:00 PM,PST,Factual,http://www.ashleysdeli.com
,Asi International,18455 Burbank Blvd,,CA,91356,34.172505,-118.534985,(818) 401-0400,6:00 AM - 11:59 PM,6:00 AM - 11:59 PM,6:00 AM - 11:59 PM,6:00 AM - 11:59 PM,6:00 AM - 11:59 PM,6:00 AM - 11:59 PM,6:00 AM - 11:59 PM,PST,Factual,
,Asi International,18455 Burbank Blvd,,CA,91356,34.172505,-118.534985,(818) 401-0400,,,,,,,,PST,Factual,
,Asia Foods,10200 Venice Blvd,Culver City,CA,90232,34.02145,-118.402,(310) 836-6070,,,,,,,,PST,Yelp,https://www.yelp.com/biz/asia-foods-culver-city
,Asia Supermarket,910 W Valley Blvd,Alhambra,CA,91803,34.077538,-118.133566,(626) 281-9772,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 9:30 PM,7:00 AM - 9:00 PM,PST,Factual,https://www.yelp.com/biz/asia-supermarket-alhambra
,Asiacorp,13101 W Washington Blvd,,CA,90066,33.994064,-118.44087,(310) 432-6345,,,,,,,,PST,Factual,http://www.asapla.com
,Asian Commodities Company,3410 N San Fernando Road #1,Los Angeles,CA,90065,,,,,,,,,,,PST,LACity,
,Asian Fastfood & Grocery,1260 W 6Th St,Los Angeles,CA,90017,34.0553,-118.27,,,,,,,,,PST,LACity,
,Asian For Miracle Marrow,231 E 3Rd St,,CA,90013,34.048307,-118.243891,(213) 473-1660,,,,,,,,PST,Factual,http://www.asianmarrow.org
,Asian Imports Llc,1926 E 7Th Place,Los Angeles,CA,90021,34.0335,-118.23,,,,,,,,,PST,LACity,
,Asian Market & Fast Food,1370 W Willow St,,CA,90810,33.804317,-118.21045,(562) 989-9040,,,,,,,,PST,Factual,
,Asian Mart,3732 W 3Rd St,Los Angeles,CA,90020,34.068992,-118.2975,(213) 385-1231,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,PST,Factual,
,Asiana Cuisine Enterprises,1447 W 178Th St,Gardena,CA,90248,33.86935,-118.301,(310) 327-2233,,,,,,,,PST,Yelp,https://www.yelp.com/biz/asiana-cuisine-enterprises-gardena
,Aspc Coop Store,170 E 6Th St,,CA,91711,34.099481,-117.713434,(909) 607-2264,9:00 AM - 11:59 PM,9:00 AM - 11:59 PM,9:00 AM - 11:59 PM,9:00 AM - 11:59 PM,9:00 AM - 11:59 PM,12:00 AM - 1:30 AM,12:00 AM - 1:30 AM,PST,Factual,http://www.pomona.edu/coopstore
,Aspc Coop Store,170 E 6Th St,Claremont,CA,91711,34.09951,-117.713,(909) 607-2264,,,,,,,,PST,Yelp,https://www.yelp.com/biz/aspc-coop-store-claremont
,Astro Food Service,1211 Wholesale St,Los Angeles,CA,90021,34.036797,-118.23807,(213) 532-3663,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 9:30 PM,7:00 AM - 9:00 PM,PST,Factual,http://astrofoodservice.com
,Atlantic Farms,6845 Atlantic Ave,,CA,90805,33.878826,-118.186584,(562) 423-3308,,,,,,,,PST,Factual,
,Atlantic Ice Cream Co Llc,16115 Valerio St Unit #2,Van Nuys,CA,91406,34.2048,-118.48,,,,,,,,,PST,LACity,
,Atlas Bay Inc,1912 Emilia Place,San Pedro,CA,90732,33.7399,-118.32,,,,,,,,,PST,LACity,
,Atrium Marketplace,24201 Valencia Blvd,Valencia,CA,91355,34.41398,-118.557,(661) 288-0071,,,,,,,,PST,Yelp,https://www.yelp.com/biz/atrium-marketplace-valencia
,Aubrey C Harter,6106 Woodman Ave Unit #4,Van Nuys,CA,91401,,,,,,,,,,,PST,LACity,
,Aui Agua,7404 State St,,CA,90255,33.970714,-118.209784,(323) 589-6101,,,,,,,,PST,Factual,
,Auspicious Group,15334 Valley Blvd,,CA,91746,34.024949,-117.96189,(626) 965-8688,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,10:00 AM - 8:00 PM,11:00 AM - 6:00 PM,PST,Factual,http://www.auspi.com
,Aussieroo Food & Beverage Co Inc,419 N La Jolla Ave,Los Angeles,CA,90048,34.0785,-118.37,,,,,,,,,PST,LACity,
,Austin Tea & Ginsing,19565 E Walnut Dr S,,CA,91748,33.993916,-117.873626,(909) 595-0829,,,,,,,,PST,Factual,
,Authentic Foods,1850 W 16Th St,,CA,90813,33.787245,-118.217141,(310) 366-6938,,,,,,,,PST,Factual,
,Authentic Specialty Foods,4340 Eucalyptus Ave,,CA,91710,33.990087,-117.712586,(909) 631-2000,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,,,PST,Factual,
,Autlan Market,1337 E Florence Ave,,CA,90001,33.97495,-118.25077,(323) 585-1937,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 10:00 PM,PST,Factual,
,Auto Plus,3140 W Sunset Blvd,,CA,90026,34.085191,-118.274747,(323) 662-3433,,,,,,,,PST,Factual,
,Avakian's Grocery,1100 S Glendale Ave,,CA,91205,34.1333,-118.251638,(818) 242-3222,6:00 AM - 11:59 PM,6:00 AM - 11:59 PM,6:00 AM - 11:59 PM,6:00 AM - 11:59 PM,6:00 AM - 11:59 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,PST,Factual,
,Avalon Discount,4406 Avalon Blvd,,CA,90011,34.003653,-118.265138,(323) 231-5055,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,PST,Factual,
,Avalon Fine Foods,817 Hill St,,CA,90405,34.006128,-118.474558,(310) 228-8982,,,,,,,,PST,Factual,
,Avalon Food,38259 Villette St,,CA,93552,34.577067,-118.006911,(661) 802-8118,,,,,,,,PST,Factual,
,Avalon Foods Inc,5625 Avalon Blvd,Los Angeles,CA,90011,33.9913,-118.27,,,,,,,,,PST,LACity,
,Avalon Garage,9200 Avalon Blvd,Los Angeles,CA,90003,33.9528,-118.27,,,,,,,,,PST,LACity,
,Avalon Ice Cream/Candy Distribution Inc,9523 Avalon Blvd,Los Angeles,CA,90003,33.9499,-118.27,,,,,,,,,PST,LACity,
,Avalon Mini Market,9106 Avalon Blvd,Los Angeles,CA,90003,33.9537,-118.27,,,,,,,,,PST,LACity,
,Avalon Tobacco Mart,523 E Vernon Ave,,CA,90011,34.004031,-118.265694,(323) 232-9427,,,,,,,,PST,Factual,
,Avalon's Best Mini Market,11022 Avalon Blvd,Los Angeles,CA,90061,33.9354,-118.27,,,,,,,,,PST,LACity,
,Avery Market,8919 S Vermont Ave,,CA,90044,33.956271,-118.292064,(323) 758-5413,,,,,,,,PST,Factual,
,Avo Bakery Inc,10665 W Vanowen St,Burbank,CA,91505,34.1939,-118.36,,,,,,,,,PST,LACity,
,Avocado Heights Grocery Outlet,520 Workman Mill Rd,La Puente,CA,91746,34.040613,-117.998428,(888) 227-4246,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,8:00 AM to 10:00 PM,PST,Factual,http://www.groceryoutlet.com
,Aware Products,9250 Mason Ave,,CA,91311,34.238435,-118.57911,(818) 206-6700,,,,,,,,PST,Factual,http://awareproducts.com
,Azteca Carneceria,10915 San Fernando Rd,,CA,91331,34.268312,-118.425067,(818) 896-9744,6:00 AM - 5:00 PM,6:00 AM - 5:00 PM,6:00 AM - 5:00 PM,6:00 AM - 5:00 PM,6:00 AM - 5:00 PM,6:00 AM - 5:00 PM,6:00 AM - 5:00 PM,PST,Factual,
,Azteca Carneceria,10915 San Fernando Rd,,CA,91331,34.268312,-118.425067,(818) 896-9744,,,,,,,,PST,Factual,
,Azteca Discount Corp,4411 S Central Ave,Los Angeles,CA,90011,34.0036,-118.26,,,,,,,,,PST,LACity,
,Azteca Market,6748 Lankershim Blvd,North Hollywood,CA,91606,34.193426,-118.3876,(818) 765-3536,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,PST,Factual,
,Azteca Market,9020 Long Beach Blvd,South Gate,CA,90280,33.95381,-118.219,(323) 476-7588,,,,,,,,PST,Yelp,https://www.yelp.com/biz/azteca-market-south-gate-2
,Azteco Market,12017 Civic Center Dr,Hawaiian Gardens,CA,90716,33.829628,-118.075895,(562) 425-3169,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 9:30 PM,7:00 AM - 9:00 PM,PST,Factual,https://www.yelp.com/biz/azteco-market-hawaiian-gardens
,Aztlan Market,5088 Valley Blvd,,CA,90032,34.070983,-118.173098,(323) 223-3040,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 10:00 PM,PST,Factual,
,B & A Market,1209 Venice Blvd,,CA,90006,34.042585,-118.281271,(213) 383-5663,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,PST,Factual,
,B & B Market,10420 S Main St,,CA,90003,33.941442,-118.273751,(323) 754-6688,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 9:30 PM,7:00 AM - 9:00 PM,PST,Factual,
,B & B Market,4135 Santa Ana St,,CA,90255,33.961952,-118.195401,(323) 588-4098,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 9:30 PM,7:00 AM - 9:00 PM,PST,Factual,
,B & B Mini-Mart,4140 Crenshaw Blvd,Los Angeles,CA,90008,34.0092,-118.34,,,,,,,,,PST,LACity,
,B & C Market,711 N Broadway,,CA,90012,34.060617,-118.239386,(213) 680-9761,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 9:30 PM,7:00 AM - 9:00 PM,PST,Factual,
,B & D Deli Market,530 E 6Th St,Los Angeles,CA,90021,34.041926,-118.244924,(213) 627-3383,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 9:30 PM,7:00 AM - 9:00 PM,PST,Factual,https://www.yelp.com/biz/d-and-d-deli-market-los-angeles
,B & J Community Market,8451 Avalon Blvd,Los Angeles,CA,90003,33.961805,-118.265325,(323) 752-9381,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 9:30 PM,7:00 AM - 9:00 PM,PST,Factual,
,B & K Market,1 E Hellman Ave,Alhambra,CA,91801,34.069971,-118.12248,(626) 571-1606,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,PST,Factual,https://www.yelp.com/biz/b-and-k-market-alhambra
,B & K Market,9896 Alondra Blvd,,CA,90706,33.889082,-118.122517,(562) 925-9461,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,PST,Factual,
,B & N Ranch Market,4560 Durfee Ave,,CA,90660,34.006517,-118.076995,(562) 463-6430,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 9:30 PM,7:00 AM - 9:00 PM,PST,Factual,
,B & P Discount Food Sales,5610 High Peak Pl,,CA,91301,34.153438,-118.773096,(818) 706-7624,,,,,,,,PST,Factual,http://www.foodsales.com/
,B & S Foods,20268 Paseo Del Prado,,CA,91789,34.012384,-117.859256,(909) 444-2003,,,,,,,,PST,Factual,
,B & W Resources Development,1107 S Baldwin Ave,,CA,91007,34.127077,-118.054942,(626) 447-2398,,,,,,,,PST,Factual,
,B C Condiments,14455 Don Julian Rd,,CA,91746,34.030941,-117.982646,(626) 336-3886,,,,,,,,PST,Factual,
,B C Food Mart,5001 Clara St,,CA,90201,33.964829,-118.178312,(323) 562-8860,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,PST,Factual,
,B F Trading,349 N Lyall Ave,,CA,91790,34.076992,-117.922387,(626) 331-6841,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,PST,Factual,
,B H 9O H 2O,333 S Beverly Dr,,CA,90212,34.061028,-118.39944,(310) 788-9021,,,,,,,,PST,Factual,
,B J Market,711 N Broadway,Los Angeles,CA,90012,34.06071,-118.24,(213) 680-9822,,,,,,,,PST,Yelp,https://www.yelp.com/biz/b-j-market-los-angeles
,B J's Market,5041 Gage Ave,,CA,90201,33.97689,-118.175774,(323) 773-6637,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 9:30 PM,7:00 AM - 9:00 PM,PST,Factual,http://bjsmarket.com
,B M Market,2019 N Wilmington Ave,,CA,90222,33.911143,-118.239335,(310) 537-2168,,,,,,,,PST,Factual,
,B S Market,5174 Atlantic Ave,,CA,90805,33.850118,-118.184746,(562) 428-7700,6:00 AM - 11:59 PM,6:00 AM - 11:59 PM,6:00 AM - 11:59 PM,6:00 AM - 11:59 PM,6:00 AM - 11:59 PM,6:00 AM - 11:59 PM,6:00 AM - 11:59 PM,PST,Factual,http://www.qualityfoodmarket.com
,B Saver Discount Store,2206 Beverly Blvd Unit #B,Los Angeles,CA,90057,,,,,,,,,,,PST,LACity,
,B-2 Market,1002 E Ave R,Palmdale,CA,93550,34.57216,-118.111,(661) 947-7766,,,,,,,,PST,Yelp,https://www.yelp.com/biz/b-2-market-palmdale
,B-2 Market,1002 E Ave S,,CA,93550,34.572545,-118.109532,(661) 947-7766,,,,,,,,PST,Factual,
,B/R Sales Co Inc,5776 D Lindero Canyon Road #341,Westlake Village,CA,91362,34.1542922,-118.7943003,,,,,,,,,PST,LACity,
,B&B Market,787 E 54Th St,Los Angeles,CA,90011,33.993428,-118.261029,(323) 232-6956,,,,,,,,PST,Factual,
,B&B Market,787 E 54Th St,,CA,90011,33.993428,-118.261029,(323) 232-6956,,,,,,,,PST,Factual,
,Bab's Dairy Fresh,3301 W Imperial Hwy,,CA,90303,33.93111,-118.330674,(310) 671-2515,,,,,,,,PST,Factual,
,Bab's Drive-In Dairies,7801 State St,,CA,90255,33.966858,-118.210735,(323) 588-5350,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 10:00 PM,PST,Factual,
,Babies Nutrition,441 E Carson St,,CA,90745,33.831904,-118.26874,(310) 549-5707,,,,,,,,PST,Factual,
,Babs Crunchy Llc,2999 Overland Ave Suite #130,Los Angeles,CA,90064,34.0325,-118.42,,,,,,,,,PST,LACity,
,Babushka Grandma's Deli,7300 W Sunset Blvd,Los Angeles,CA,90046,34.09762,-118.35,(323) 851-2312,9:00 AM to 9:00 PM,9:00 AM to 9:00 PM,9:00 AM to 9:00 PM,9:00 AM to 9:00 PM,9:00 AM to 9:00 PM,9:00 AM to 9:00 PM,9:00 AM to 9:00 PM,PST,Yelp,https://www.yelp.com/biz/babushka-grandmas-deli-los-angeles-4
,Baby Soft International Co.,1905 E 22Nd St,,CA,90058,34.016759,-118.23735,(213) 748-6069,,,,,,,,PST,Factual,
,Baby's First,6819 Kester Ave,,CA,91405,34.194385,-118.457694,(818) 989-2896,,,,,,,,PST,Factual,
,Badrinath Corporation,2444 Huntington Dr,,CA,91010,34.139565,-117.951892,(626) 357-3400,,,,,,,,PST,Factual,http://www.accessduarte.com
,Bagline,9257 Eton Ave,,CA,91311,34.238705,-118.594638,(818) 341-2379,,,,,,,,PST,Factual,
,Bahay Natin,9903 Venice Blvd,Los Angeles,CA,90034,34.02335,-118.399,(310) 841-6773,9:30 AM to 6:30 PM,9:30 AM to 6:30 PM,9:30 AM to 6:30 PM,9:30 AM to 6:30 PM,9:30 AM to 6:30 PM,9:30 AM to 6:30 PM,9:30 AM to 6:30 PM,PST,Yelp,https://www.yelp.com/biz/bahay-natin-los-angeles
,Baith Al Halal,17515 Chatsworth St,North Valley,CA,91344,34.265035,-118.515883,(818) 368-3903,,,,,,,,PST,Factual,https://www.yelp.com/biz/baith-al-halal-north-valley
,Baja Ranch Market,2515 Fair Oaks Ave,Altadena,CA,91001,34.188794,-118.150305,(626) 204-0171,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,PST,Factual,http://www.bajaranchmarkets.com/
,Baja Ranch Market,2515 N Fair Oaks Ave,Altadena,CA,91001,34.18901,-118.15,(626) 204-0171,,,,,,,,PST,Yelp,https://www.yelp.com/biz/baja-ranch-market-altadena-3
,Baja Ranch Market,328 W Huntington Dr,Monrovia,CA,91016,34.139688,-118.006582,(626) 359-3333,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,PST,Factual,http://www.bajaranchmarkets.com/
,Baja Ranch Market,475 E Orange Grove Blvd,Pasadena,CA,91104,34.158023,-118.140551,(626) 577-0343,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,PST,Factual,http://www.bajaranchmarkets.com/
,Baja Subs Market & Deli,8801 Reseda Blvd,Northridge,CA,91324,34.23091,-118.536,(818) 993-7064,,,,,,,,PST,Yelp,https://www.yelp.com/biz/baja-subs-market-and-deli-northridge
,Baked Good,1358 Laveta Terrace,Los Angeles,CA,90026,,,,,,,,,,,PST,LACity,
,Baked It Myself,14543 Erwin St,Van Nuys,CA,91411,34.1836,-118.45,,,,,,,,,PST,LACity,
,Bakers Select,4562 Alvarado Canyon Road #M N,San Diego,CA,92120,,,,,,,,,,,PST,LACity,
,Bakery La,13850 Del Sur St,,CA,91340,34.275417,-118.434117,(818) 686-3582,8:00 AM - 4:00 PM,8:00 AM - 4:00 PM,8:00 AM - 4:00 PM,8:00 AM - 4:00 PM,8:00 AM - 4:00 PM,,,PST,Factual,http://wholefoodsmarket.com
,Bakery/Packer,5366 Lindbergh Lane,Bell,CA,90201,33.9959,-118.17,,,,,,,,,PST,LACity,
